Region,State,District,Year,Quarter,Registered_user,Latitude,Longitude
Southern Region,Andhra Pradesh,Anantapur,2018,Q1,241192,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2018,Q1,240133,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2018,Q1,213335,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2018,Q1,194475,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2018,Q1,189949,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2018,Q2,636052,17.7231276,83.3012842
Southern Region,Andhra Pradesh,East Godavari,2018,Q2,454398,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Krishna,2018,Q2,431965,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Guntur,2018,Q2,420326,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Chittoor,2018,Q2,414306,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Anantapur,2018,Q2,326383,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2018,Q2,319313,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2018,Q2,282393,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2018,Q2,261049,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2018,Q2,253458,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2018,Q3,769096,17.7231276,83.3012842
Southern Region,Andhra Pradesh,East Godavari,2018,Q3,558982,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Krishna,2018,Q3,537086,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Guntur,2018,Q3,518931,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Chittoor,2018,Q3,515727,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Anantapur,2018,Q3,405855,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2018,Q3,394311,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2018,Q3,349782,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2018,Q3,322446,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2018,Q3,314899,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2018,Q4,978288,17.7231276,83.3012842
Southern Region,Andhra Pradesh,East Godavari,2018,Q4,694455,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Krishna,2018,Q4,682479,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Chittoor,2018,Q4,665280,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Guntur,2018,Q4,659552,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Anantapur,2018,Q4,510892,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2018,Q4,498582,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2018,Q4,435668,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2018,Q4,407495,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2018,Q4,394962,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2019,Q1,1174517,17.7231276,83.3012842
Southern Region,Andhra Pradesh,East Godavari,2019,Q1,839277,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Krishna,2019,Q1,833694,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Chittoor,2019,Q1,812314,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Guntur,2019,Q1,802394,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Anantapur,2019,Q1,612162,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2019,Q1,599422,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2019,Q1,523372,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2019,Q1,491908,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2019,Q1,474260,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2019,Q2,1318740,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Krishna,2019,Q2,952300,16.21399145,81.02572814
Southern Region,Andhra Pradesh,East Godavari,2019,Q2,945181,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Chittoor,2019,Q2,925491,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Guntur,2019,Q2,915256,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Anantapur,2019,Q2,695114,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2019,Q2,680118,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2019,Q2,592185,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2019,Q2,558303,14.4493717,79.9873763
