Region,State,District,Year,Quarter,Registered_user,Latitude,Longitude
Northern Region,Haryana,Palwal,2020,Q4,310698,28.1769589,77.37311204
Northern Region,Haryana,Rohtak,2020,Q4,305922,28.9010899,76.5801935
Northern Region,Haryana,Gurgaon,2021,Q1,2262589,28.42826235,77.00270015
Northern Region,Haryana,Faridabad,2021,Q1,1272506,28.4031478,77.3105561
Northern Region,Haryana,Hisar,2021,Q1,526528,29.08064095,75.78875411
Northern Region,Haryana,Sonipat,2021,Q1,475192,28.9953758,77.0233627
Northern Region,Haryana,Rewari,2021,Q1,453500,28.1956468,76.6165179
Northern Region,Haryana,Panipat,2021,Q1,423131,29.3912753,76.9771675
Northern Region,Haryana,Karnal,2021,Q1,402850,29.6803266,76.9896254
Northern Region,Haryana,Jhajjar,2021,Q1,337303,28.53364155,76.68981478
Northern Region,Haryana,Palwal,2021,Q1,335048,28.1769589,77.37311204
Northern Region,Haryana,Rohtak,2021,Q1,329147,28.9010899,76.5801935
Northern Region,Haryana,Gurgaon,2021,Q2,2416391,28.42826235,77.00270015
Northern Region,Haryana,Faridabad,2021,Q2,1360855,28.4031478,77.3105561
Northern Region,Haryana,Hisar,2021,Q2,564047,29.08064095,75.78875411
Northern Region,Haryana,Sonipat,2021,Q2,510058,28.9953758,77.0233627
Northern Region,Haryana,Rewari,2021,Q2,485784,28.1956468,76.6165179
Northern Region,Haryana,Panipat,2021,Q2,454218,29.3912753,76.9771675
Northern Region,Haryana,Karnal,2021,Q2,432042,29.6803266,76.9896254
Northern Region,Haryana,Jhajjar,2021,Q2,362160,28.53364155,76.68981478
Northern Region,Haryana,Palwal,2021,Q2,359544,28.1769589,77.37311204
Northern Region,Haryana,Rohtak,2021,Q2,353305,28.9010899,76.5801935
Northern Region,Haryana,Gurgaon,2021,Q3,2589324,28.42826235,77.00270015
Northern Region,Haryana,Faridabad,2021,Q3,1459758,28.4031478,77.3105561
Northern Region,Haryana,Hisar,2021,Q3,606513,29.08064095,75.78875411
Northern Region,Haryana,Sonipat,2021,Q3,549613,28.9953758,77.0233627
Northern Region,Haryana,Rewari,2021,Q3,522734,28.1956468,76.6165179
Northern Region,Haryana,Panipat,2021,Q3,489226,29.3912753,76.9771675
Northern Region,Haryana,Karnal,2021,Q3,464990,29.6803266,76.9896254
Northern Region,Haryana,Jhajjar,2021,Q3,390612,28.53364155,76.68981478
Northern Region,Haryana,Palwal,2021,Q3,387557,28.1769589,77.37311204
Northern Region,Haryana,Rohtak,2021,Q3,380370,28.9010899,76.5801935
Northern Region,Haryana,Gurgaon,2021,Q4,2764490,28.42826235,77.00270015
Northern Region,Haryana,Faridabad,2021,Q4,1559756,28.4031478,77.3105561
Northern Region,Haryana,Hisar,2021,Q4,648827,29.08064095,75.78875411
Northern Region,Haryana,Sonipat,2021,Q4,588700,28.9953758,77.0233627
Northern Region,Haryana,Rewari,2021,Q4,559494,28.1956468,76.6165179
Northern Region,Haryana,Panipat,2021,Q4,523678,29.3912753,76.9771675
Northern Region,Haryana,Karnal,2021,Q4,497166,29.6803266,76.9896254
Northern Region,Haryana,Jhajjar,2021,Q4,418950,28.53364155,76.68981478
Northern Region,Haryana,Palwal,2021,Q4,415495,28.1769589,77.37311204
Northern Region,Haryana,Rohtak,2021,Q4,407245,28.9010899,76.5801935
Northern Region,Haryana,Gurgaon,2022,Q1,2929873,28.42826235,77.00270015
Northern Region,Haryana,Faridabad,2022,Q1,1654074,28.4031478,77.3105561
Northern Region,Haryana,Hisar,2022,Q1,689980,29.08064095,75.78875411
Northern Region,Haryana,Sonipat,2022,Q1,626016,28.9953758,77.0233627
Northern Region,Haryana,Rewari,2022,Q1,595001,28.1956468,76.6165179
Northern Region,Haryana,Panipat,2022,Q1,556104,29.3912753,76.9771675
Northern Region,Haryana,Karnal,2022,Q1,527415,29.6803266,76.9896254
Northern Region,Haryana,Jhajjar,2022,Q1,445888,28.53364155,76.68981478
Northern Region,Haryana,Palwal,2022,Q1,441872,28.1769589,77.37311204
Northern Region,Haryana,Rohtak,2022,Q1,432623,28.9010899,76.5801935
Northern Region,Haryana,Gurgaon,2022,Q2,3088176,28.42826235,77.00270015
Northern Region,Haryana,Faridabad,2022,Q2,1743764,28.4031478,77.3105561
Northern Region,Haryana,Hisar,2022,Q2,727942,29.08064095,75.78875411
Northern Region,Haryana,Sonipat,2022,Q2,661278,28.9953758,77.0233627
Northern Region,Haryana,Rewari,2022,Q2,628614,28.1956468,76.6165179
Northern Region,Haryana,Panipat,2022,Q2,587006,29.3912753,76.9771675
Northern Region,Haryana,Karnal,2022,Q2,555939,29.6803266,76.9896254
Northern Region,Haryana,Jhajjar,2022,Q2,471357,28.53364155,76.68981478
Northern Region,Haryana,Palwal,2022,Q2,466861,28.1769589,77.37311204
Northern Region,Haryana,Rohtak,2022,Q2,456537,28.9010899,76.5801935
Northern Region,Haryana,Gurgaon,2022,Q3,3251792,28.42826235,77.00270015
Northern Region,Haryana,Faridabad,2022,Q3,1837594,28.4031478,77.3105561
Northern Region,Haryana,Hisar,2022,Q3,766206,29.08064095,75.78875411
Northern Region,Haryana,Sonipat,2022,Q3,697349,28.9953758,77.0233627
Northern Region,Haryana,Rewari,2022,Q3,663418,28.1956468,76.6165179
Northern Region,Haryana,Panipat,2022,Q3,618937,29.3912753,76.9771675
Northern Region,Haryana,Karnal,2022,Q3,584928,29.6803266,76.9896254
Northern Region,Haryana,Jhajjar,2022,Q3,497580,28.53364155,76.68981478
Northern Region,Haryana,Palwal,2022,Q3,492837,28.1769589,77.37311204
Northern Region,Haryana,Rohtak,2022,Q3,481082,28.9010899,76.5801935
Northern Region,Haryana,Gurgaon,2022,Q4,3416098,28.42826235,77.00270015
Northern Region,Haryana,Faridabad,2022,Q4,1930743,28.4031478,77.3105561
Northern Region,Haryana,Hisar,2022,Q4,801156,29.08064095,75.78875411
Northern Region,Haryana,Sonipat,2022,Q4,731324,28.9953758,77.0233627
Northern Region,Haryana,Rewari,2022,Q4,696113,28.1956468,76.6165179
Northern Region,Haryana,Panipat,2022,Q4,649292,29.3912753,76.9771675
Northern Region,Haryana,Karnal,2022,Q4,611868,29.6803266,76.9896254
Northern Region,Haryana,Jhajjar,2022,Q4,521692,28.53364155,76.68981478
Northern Region,Haryana,Palwal,2022,Q4,516553,28.1769589,77.37311204
Northern Region,Haryana,Rohtak,2022,Q4,504058,28.9010899,76.5801935
Northern Region,Himachal Pradesh,Solan,2018,Q1,50035,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2018,Q1,39016,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2018,Q1,28214,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2018,Q1,26238,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2018,Q1,15880,30.75,77.5
Northern Region,Himachal Pradesh,Hamirpur,2018,Q1,15614,25.75,80.0
Northern Region,Himachal Pradesh,Kullu,2018,Q1,15318,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Una,2018,Q1,13234,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2018,Q1,11975,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2018,Q1,8678,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2018,Q2,68950,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2018,Q2,54828,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2018,Q2,38590,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2018,Q2,36126,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2018,Q2,22379,30.75,77.5
Northern Region,Himachal Pradesh,Hamirpur,2018,Q2,21374,25.75,80.0
Northern Region,Himachal Pradesh,Kullu,2018,Q2,21077,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Una,2018,Q2,18691,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2018,Q2,16531,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2018,Q2,12259,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2018,Q3,88724,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2018,Q3,71494,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2018,Q3,49820,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2018,Q3,45876,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2018,Q3,28959,30.75,77.5
Northern Region,Himachal Pradesh,Hamirpur,2018,Q3,27915,25.75,80.0
Northern Region,Himachal Pradesh,Kullu,2018,Q3,26840,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Una,2018,Q3,24952,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2018,Q3,21030,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2018,Q3,16157,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2018,Q4,113278,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2018,Q4,92887,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2018,Q4,64640,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2018,Q4,58526,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2018,Q4,38194,30.75,77.5
Northern Region,Himachal Pradesh,Hamirpur,2018,Q4,35979,25.75,80.0
Northern Region,Himachal Pradesh,Kullu,2018,Q4,34719,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Una,2018,Q4,32451,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2018,Q4,26517,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2018,Q4,21538,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2019,Q1,139300,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2019,Q1,115120,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2019,Q1,80651,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2019,Q1,72963,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2019,Q1,47638,30.75,77.5
Northern Region,Himachal Pradesh,Hamirpur,2019,Q1,44206,25.75,80.0
Northern Region,Himachal Pradesh,Kullu,2019,Q1,43436,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Una,2019,Q1,40315,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2019,Q1,32537,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2019,Q1,27481,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2019,Q2,159989,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2019,Q2,139517,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2019,Q2,96928,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2019,Q2,86701,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2019,Q2,55409,30.75,77.5
Northern Region,Himachal Pradesh,Kullu,2019,Q2,51977,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Hamirpur,2019,Q2,51669,25.75,80.0
Northern Region,Himachal Pradesh,Una,2019,Q2,47644,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2019,Q2,38131,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2019,Q2,33377,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2019,Q3,178922,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2019,Q3,160161,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2019,Q3,110575,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2019,Q3,98589,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2019,Q3,62048,30.75,77.5
Northern Region,Himachal Pradesh,Kullu,2019,Q3,59192,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Hamirpur,2019,Q3,58950,25.75,80.0
Northern Region,Himachal Pradesh,Una,2019,Q3,54164,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2019,Q3,43115,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2019,Q3,37974,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2019,Q4,198962,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2019,Q4,181133,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2019,Q4,124960,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2019,Q4,111017,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2019,Q4,69583,30.75,77.5
Northern Region,Himachal Pradesh,Kullu,2019,Q4,66640,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Hamirpur,2019,Q4,66179,25.75,80.0
Northern Region,Himachal Pradesh,Una,2019,Q4,61055,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2019,Q4,48453,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2019,Q4,43715,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2020,Q1,220293,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2020,Q1,205367,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2020,Q1,139890,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2020,Q1,124971,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2020,Q1,77972,30.75,77.5
Northern Region,Himachal Pradesh,Kullu,2020,Q1,74668,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Hamirpur,2020,Q1,73945,25.75,80.0
Northern Region,Himachal Pradesh,Una,2020,Q1,68564,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2020,Q1,54024,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2020,Q1,50169,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2020,Q2,243732,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2020,Q2,235773,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2020,Q2,156539,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2020,Q2,142668,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2020,Q2,88117,30.75,77.5
Northern Region,Himachal Pradesh,Hamirpur,2020,Q2,84216,25.75,80.0
Northern Region,Himachal Pradesh,Kullu,2020,Q2,82616,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Una,2020,Q2,78363,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2020,Q2,61050,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2020,Q2,58362,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2020,Q3,265701,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2020,Q3,261293,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2020,Q3,172418,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2020,Q3,158237,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2020,Q3,97464,30.75,77.5
Northern Region,Himachal Pradesh,Hamirpur,2020,Q3,93465,25.75,80.0
Northern Region,Himachal Pradesh,Kullu,2020,Q3,90699,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Una,2020,Q3,86177,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2020,Q3,67233,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2020,Q3,65214,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2020,Q4,289889,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2020,Q4,285210,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2020,Q4,189005,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2020,Q4,173403,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2020,Q4,107144,30.75,77.5
Northern Region,Himachal Pradesh,Hamirpur,2020,Q4,101825,25.75,80.0
Northern Region,Himachal Pradesh,Kullu,2020,Q4,99814,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Una,2020,Q4,93778,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2020,Q4,73296,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2020,Q4,72124,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2021,Q1,312360,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2021,Q1,306531,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2021,Q1,202911,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2021,Q1,186340,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2021,Q1,115705,30.75,77.5
Northern Region,Himachal Pradesh,Hamirpur,2021,Q1,109372,25.75,80.0
Northern Region,Himachal Pradesh,Kullu,2021,Q1,107536,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Una,2021,Q1,100832,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2021,Q1,78663,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2021,Q1,77599,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2021,Q2,334716,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2021,Q2,329232,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2021,Q2,218068,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2021,Q2,200277,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2021,Q2,124764,30.75,77.5
Northern Region,Himachal Pradesh,Hamirpur,2021,Q2,117381,25.75,80.0
Northern Region,Himachal Pradesh,Kullu,2021,Q2,115278,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Una,2021,Q2,108338,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2021,Q2,84508,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2021,Q2,83542,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2021,Q3,360324,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2021,Q3,355274,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2021,Q3,235163,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2021,Q3,216188,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2021,Q3,134870,30.75,77.5
Northern Region,Himachal Pradesh,Hamirpur,2021,Q3,126753,25.75,80.0
Northern Region,Himachal Pradesh,Kullu,2021,Q3,124078,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Una,2021,Q3,116973,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2021,Q3,91291,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2021,Q3,90344,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2021,Q4,385901,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2021,Q4,380492,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2021,Q4,251745,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2021,Q4,231360,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2021,Q4,144716,30.75,77.5
Northern Region,Himachal Pradesh,Hamirpur,2021,Q4,135670,25.75,80.0
Northern Region,Himachal Pradesh,Kullu,2021,Q4,132702,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Una,2021,Q4,125192,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2021,Q4,97687,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2021,Q4,96745,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2022,Q1,410487,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2022,Q1,405048,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2022,Q1,267642,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2022,Q1,246307,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2022,Q1,154267,30.75,77.5
Northern Region,Himachal Pradesh,Hamirpur,2022,Q1,144434,25.75,80.0
Northern Region,Himachal Pradesh,Kullu,2022,Q1,141024,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Una,2022,Q1,133249,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2022,Q1,104121,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2022,Q1,103270,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2022,Q2,433753,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2022,Q2,427676,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2022,Q2,282560,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2022,Q2,260233,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2022,Q2,163150,30.75,77.5
Northern Region,Himachal Pradesh,Hamirpur,2022,Q2,152759,25.75,80.0
Northern Region,Himachal Pradesh,Kullu,2022,Q2,148844,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Una,2022,Q2,140791,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2022,Q2,110019,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2022,Q2,109087,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2022,Q3,457393,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2022,Q3,449619,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2022,Q3,296508,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2022,Q3,273475,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2022,Q3,171743,30.75,77.5
Northern Region,Himachal Pradesh,Hamirpur,2022,Q3,160759,25.75,80.0
Northern Region,Himachal Pradesh,Kullu,2022,Q3,156387,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Una,2022,Q3,148148,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2022,Q3,115654,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2022,Q3,114576,32.518429,76.23086566
Northern Region,Himachal Pradesh,Solan,2022,Q4,479537,30.92589585,77.08200509
Northern Region,Himachal Pradesh,Kangra,2022,Q4,468410,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,2022,Q4,308448,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,2022,Q4,284425,31.6723392,76.95331691
Northern Region,Himachal Pradesh,Sirmaur,2022,Q4,179223,30.75,77.5
Northern Region,Himachal Pradesh,Hamirpur,2022,Q4,167686,25.75,80.0
Northern Region,Himachal Pradesh,Kullu,2022,Q4,162922,32.00186325,77.3789964
Northern Region,Himachal Pradesh,Una,2022,Q4,154314,31.583333,76.25
Northern Region,Himachal Pradesh,Bilaspur,2022,Q4,120345,31.3380959,76.7611631
Northern Region,Himachal Pradesh,Chamba,2022,Q4,118985,32.518429,76.23086566
Northern Region,Jammu and Kashmir,Jammu,2018,Q1,45294,32.7185614,74.8580917
Northern Region,Jammu and Kashmir,Srinagar,2018,Q1,18233,34.0747444,74.8204443
Northern Region,Jammu and Kashmir,Baramulla,2018,Q1,16299,34.20500565,74.36221081
Northern Region,Jammu and Kashmir,Budgam,2018,Q1,11594,33.9098746,74.62703567
Northern Region,Jammu and Kashmir,Anantnag,2018,Q1,11556,33.7368773,75.1455138
Northern Region,Jammu and Kashmir,Udhampur,2018,Q1,8457,33.0,75.166667
Northern Region,Jammu and Kashmir,Pulwama,2018,Q1,8441,33.8756947,74.9003129
Northern Region,Jammu and Kashmir,Kathua,2018,Q1,8039,32.4288215,75.56286458
Northern Region,Jammu and Kashmir,Kupwara,2018,Q1,7254,34.6110236,74.23847867
Northern Region,Jammu and Kashmir,Samba,2018,Q1,6534,32.57591175,75.12034456
Northern Region,Jammu and Kashmir,Jammu,2018,Q2,64681,32.7185614,74.8580917
Northern Region,Jammu and Kashmir,Srinagar,2018,Q2,27035,34.0747444,74.8204443
Northern Region,Jammu and Kashmir,Baramulla,2018,Q2,25870,34.20500565,74.36221081
Northern Region,Jammu and Kashmir,Budgam,2018,Q2,17809,33.9098746,74.62703567
Northern Region,Jammu and Kashmir,Anantnag,2018,Q2,16373,33.7368773,75.1455138
Northern Region,Jammu and Kashmir,Pulwama,2018,Q2,12218,33.8756947,74.9003129
Northern Region,Jammu and Kashmir,Udhampur,2018,Q2,12195,33.0,75.166667
Northern Region,Jammu and Kashmir,Kathua,2018,Q2,11778,32.4288215,75.56286458
Northern Region,Jammu and Kashmir,Kupwara,2018,Q2,11482,34.6110236,74.23847867
Northern Region,Jammu and Kashmir,Samba,2018,Q2,9601,32.57591175,75.12034456
Northern Region,Jammu and Kashmir,Jammu,2018,Q3,86877,32.7185614,74.8580917
Northern Region,Jammu and Kashmir,Srinagar,2018,Q3,35583,34.0747444,74.8204443
Northern Region,Jammu and Kashmir,Baramulla,2018,Q3,31069,34.20500565,74.36221081
Northern Region,Jammu and Kashmir,Budgam,2018,Q3,22301,33.9098746,74.62703567
Northern Region,Jammu and Kashmir,Anantnag,2018,Q3,20234,33.7368773,75.1455138
Northern Region,Jammu and Kashmir,Udhampur,2018,Q3,16058,33.0,75.166667
Northern Region,Jammu and Kashmir,Kathua,2018,Q3,15849,32.4288215,75.56286458
Northern Region,Jammu and Kashmir,Kupwara,2018,Q3,15754,34.6110236,74.23847867
Northern Region,Jammu and Kashmir,Pulwama,2018,Q3,15427,33.8756947,74.9003129
Northern Region,Jammu and Kashmir,Samba,2018,Q3,13304,32.57591175,75.12034456
Northern Region,Jammu and Kashmir,Jammu,2018,Q4,113005,32.7185614,74.8580917
Northern Region,Jammu and Kashmir,Srinagar,2018,Q4,44328,34.0747444,74.8204443
Northern Region,Jammu and Kashmir,Baramulla,2018,Q4,37661,34.20500565,74.36221081
Northern Region,Jammu and Kashmir,Budgam,2018,Q4,27710,33.9098746,74.62703567
Northern Region,Jammu and Kashmir,Anantnag,2018,Q4,24448,33.7368773,75.1455138
Northern Region,Jammu and Kashmir,Udhampur,2018,Q4,21123,33.0,75.166667
Northern Region,Jammu and Kashmir,Kathua,2018,Q4,21030,32.4288215,75.56286458
Northern Region,Jammu and Kashmir,Kupwara,2018,Q4,20492,34.6110236,74.23847867
Northern Region,Jammu and Kashmir,Pulwama,2018,Q4,18846,33.8756947,74.9003129
Northern Region,Jammu and Kashmir,Samba,2018,Q4,17595,32.57591175,75.12034456
Northern Region,Jammu and Kashmir,Jammu,2019,Q1,134408,32.7185614,74.8580917
Northern Region,Jammu and Kashmir,Srinagar,2019,Q1,52762,34.0747444,74.8204443
Northern Region,Jammu and Kashmir,Baramulla,2019,Q1,45150,34.20500565,74.36221081
Northern Region,Jammu and Kashmir,Budgam,2019,Q1,34255,33.9098746,74.62703567
Northern Region,Jammu and Kashmir,Anantnag,2019,Q1,30103,33.7368773,75.1455138
Northern Region,Jammu and Kashmir,Kathua,2019,Q1,25620,32.4288215,75.56286458
Northern Region,Jammu and Kashmir,Kupwara,2019,Q1,25544,34.6110236,74.23847867
Northern Region,Jammu and Kashmir,Udhampur,2019,Q1,25515,33.0,75.166667
Northern Region,Jammu and Kashmir,Pulwama,2019,Q1,23230,33.8756947,74.9003129
Northern Region,Jammu and Kashmir,Samba,2019,Q1,21495,32.57591175,75.12034456
Northern Region,Jammu and Kashmir,Jammu,2019,Q2,160241,32.7185614,74.8580917
Northern Region,Jammu and Kashmir,Srinagar,2019,Q2,62190,34.0747444,74.8204443
Northern Region,Jammu and Kashmir,Baramulla,2019,Q2,53196,34.20500565,74.36221081
Northern Region,Jammu and Kashmir,Budgam,2019,Q2,39965,33.9098746,74.62703567
