Region,State,District,Latitude,Longitude
Northern Region,Haryana,Ambala,30.3843674,76.770421
Northern Region,Haryana,Jhajjar,28.53364155,76.68981477716189
Northern Region,Haryana,Palwal,28.176958900000002,77.37311203790532
Northern Region,Himachal Pradesh,Solan,30.92589585,77.08200509063624
Northern Region,Himachal Pradesh,Kangra,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,31.6723392,76.95331690779145
Northern Region,Himachal Pradesh,Sirmaur,30.75,77.5
Northern Region,Himachal Pradesh,Hamirpur,31.69255285,76.54105735900994
Northern Region,Himachal Pradesh,Kullu,32.00186325,77.37899639741332
Northern Region,Himachal Pradesh,Una,31.583333,76.25
Northern Region,Himachal Pradesh,Chamba,32.518429,76.23086565661742
Northern Region,Jammu and Kashmir,Jammu,32.7185614,74.8580917
Northern Region,Jammu and Kashmir,Srinagar,34.0747444,74.8204443
Northern Region,Jammu and Kashmir,Baramulla,34.205005650000004,74.36221081111597
Northern Region,Jammu and Kashmir,Budgam,33.9098746,74.6270356734338
Northern Region,Jammu and Kashmir,Anantnag,33.7368773,75.1455138
Northern Region,Jammu and Kashmir,Udhampur,33.0,75.166667
Northern Region,Jammu and Kashmir,Pulwama,33.8756947,74.9003129
Northern Region,Jammu and Kashmir,Kathua,32.4288215,75.56286458392415
Northern Region,Jammu and Kashmir,Kupwara,34.611023599999996,74.238478667319
Northern Region,Jammu and Kashmir,Samba,32.57591175,75.12034455530063
Northern Region,Jammu and Kashmir,Rajouri,33.3772495,74.3132332
Eastern Region,Jharkhand,Ranchi,23.3700501,85.3250387
Eastern Region,Jharkhand,Dhanbad,23.7952809,86.4309638
Eastern Region,Jharkhand,East Singhbhum,22.8092139,86.2091549
Eastern Region,Jharkhand,Bokaro,23.699127949999998,85.99106894165021
Eastern Region,Jharkhand,Hazaribagh,23.9675151,85.43884568595615
Eastern Region,Jharkhand,Giridih,24.1608897,86.25113503301655
Eastern Region,Jharkhand,Ramgarh,23.598775949999997,85.53691564663127
Eastern Region,Jharkhand,Deoghar,24.4766423,86.60673245386945
Eastern Region,Jharkhand,Palamu,23.916667,84.083333
Eastern Region,Jharkhand,Saraikela Kharsawan,22.7464225,85.91689291046393
Southern Region,Karnataka,Bengaluru Urban,12.94514225,77.55364499971128
Southern Region,Karnataka,Mysuru,12.3051828,76.6553609
Southern Region,Karnataka,Belagavi,15.8572666,74.5069343
Southern Region,Karnataka,Dharwad,15.4540505,75.0066516
Southern Region,Karnataka,Ballari,15.2485413,76.8323648
Southern Region,Karnataka,Bengaluru Rural,13.18077825,77.34174236923371
Southern Region,Karnataka,Dakshina Kannada,12.9324457,74.9813132
Southern Region,Karnataka,Tumakuru,13.3400771,77.1006208
Southern Region,Karnataka,Kalaburagi,17.166667,77.083333
Southern Region,Karnataka,Vijayapura,16.666667,75.916667
Southern Region,Karnataka,Kolar,13.1367201,78.1337246
Southern Region,Kerala,Ernakulam,9.98408,76.2741457
Southern Region,Kerala,Malappuram,11.10684475,76.10995510466662
Southern Region,Kerala,Kozhikode,11.2450558,75.7754716
Southern Region,Kerala,Thiruvananthapuram,8.4882267,76.947551
Southern Region,Kerala,Thrissur,10.5256264,76.2132542
Southern Region,Kerala,Kannur,11.8763836,75.3737973
Southern Region,Kerala,Palakkad,10.78736915,76.47421718925105
Southern Region,Kerala,Kottayam,9.6287383,76.64553257390992
Southern Region,Kerala,Kollam,8.8879509,76.5955013
Southern Region,Kerala,Alappuzha,9.5006651,76.41241428564258
Northern Region,Ladakh,Leh Ladakh,34.1642029,77.5848133
Northern Region,Ladakh,Kargil,34.5594418,76.1255982
Southern Region,Lakshadweep,Lakshadweep,10.8132489,73.6804620941119
Central Region,Madhya Pradesh,Indore,22.7203616,75.8681996
Central Region,Madhya Pradesh,Bhopal,23.2584857,77.401989
Central Region,Madhya Pradesh,Gwalior,26.2037247,78.1573628
Central Region,Madhya Pradesh,Jabalpur,23.1608938,79.9497702
Central Region,Madhya Pradesh,Ujjain,23.1885131,75.7716562
Central Region,Madhya Pradesh,Rewa,24.756718,81.65493468694177
Central Region,Madhya Pradesh,Sagar,23.80961225,78.75911360578634
Central Region,Madhya Pradesh,Chhindwara,22.139831049999998,78.80964495467987
Central Region,Madhya Pradesh,Dhar,22.5,75.25
Central Region,Madhya Pradesh,Dewas,23.0,76.166667
Central Region,Madhya Pradesh,Satna,24.5,81.0
Western Region,Maharashtra,Pune,18.521428,73.8544541
Western Region,Maharashtra,Mumbai Suburban,19.1306115,72.88619365454353
Western Region,Maharashtra,Thane,19.1943294,72.9701779
Western Region,Maharashtra,Nashik,20.0112475,73.7902364
Western Region,Maharashtra,Nagpur,21.1498134,79.0820556
Western Region,Maharashtra,Aurangabad,19.877263,75.3390241
Western Region,Maharashtra,Mumbai,19.0785451,72.878176
Western Region,Maharashtra,Ahmednagar,19.162772500000003,74.85802430085195
Western Region,Maharashtra,Solapur,17.84990665,75.27632027348457
Western Region,Maharashtra,Raigad,18.4928092,73.13807095426539
Western Region,Maharashtra,Palghar,19.684661,72.82491116145356
North-Eastern Region,Manipur,Imphal West,24.7991162,93.9364419
North-Eastern Region,Manipur,Imphal East,24.85154025,94.00947957721581
North-Eastern Region,Manipur,Thoubal,24.84529,94.1449785
North-Eastern Region,Manipur,Bishnupur,24.6267287,93.7600454
North-Eastern Region,Manipur,Churachandpur,24.378704,93.69700149533944
North-Eastern Region,Manipur,Kangpokpi,25.1524326,93.9714932
North-Eastern Region,Manipur,Kakching,24.4974827,93.9835543
North-Eastern Region,Manipur,Ukhrul,25.0982654,94.363167
North-Eastern Region,Manipur,Tamenglong,24.9858596,93.5039967
North-Eastern Region,Manipur,Jiribam,24.8087217,93.1143992
North-Eastern Region,Manipur,Chandel,24.3312009,94.0011081
North-Eastern Region,Meghalaya,East Khasi Hills,25.40237355,91.83171775361184
North-Eastern Region,Meghalaya,West Garo Hills,25.606314249999997,90.21139055037469
North-Eastern Region,Meghalaya,Ri Bhoi,25.87640255,91.85675741641606
North-Eastern Region,Meghalaya,East Jaintia Hills,25.25157605,92.48405006942016
North-Eastern Region,Meghalaya,West Jaintia Hills,25.4425965,92.29882747091773
North-Eastern Region,Meghalaya,South Garo Hills,25.347969,90.56577725964563
North-Eastern Region,Meghalaya,South West Garo Hills,25.44463095,89.99696550020556
North-Eastern Region,Meghalaya,West Khasi Hills,25.5814429,91.08510943564022
North-Eastern Region,Meghalaya,North Garo Hills,25.8619841,90.70177048839348
North-Eastern Region,Meghalaya,East Garo Hills,25.61849455,90.63421621777749
North-Eastern Region,Mizoram,Aizawl,23.7435236,92.7382905
North-Eastern Region,Mizoram,Lunglei,22.898553,92.75192291719874
North-Eastern Region,Mizoram,Kolasib,24.18947525,92.7133181281124
North-Eastern Region,Mizoram,Lawngtlai,22.34596495,92.8119536068969
North-Eastern Region,Mizoram,Champhai,23.6317319,93.34931854269607
North-Eastern Region,Mizoram,Mamit,23.75590845,92.45173568830637
North-Eastern Region,Mizoram,Serchhip,23.385892300000002,92.930598908176
North-Eastern Region,Mizoram,Saiha,22.4995518,92.97798988717027
North-Eastern Region,Nagaland,Dimapur,25.911744,93.721703
North-Eastern Region,Nagaland,Kohima,25.75,94.166667
North-Eastern Region,Nagaland,Mokokchung,26.4795861,94.51052754768273
North-Eastern Region,Nagaland,Mon,26.75,94.833333
North-Eastern Region,Nagaland,Phek,25.75,94.5
North-Eastern Region,Nagaland,Wokha,26.166667,94.25
North-Eastern Region,Nagaland,Zunheboto,26.0,94.5
North-Eastern Region,Nagaland,Tuensang,26.168505500000002,94.85819821659115
North-Eastern Region,Nagaland,Peren,25.47907705,93.72563659313207
North-Eastern Region,Nagaland,Kiphire,25.81551155,94.84166400470303
Eastern Region,Odisha,Khordha,20.22564715,85.56059465125232
Eastern Region,Odisha,Cuttack,20.4686,85.8792
Eastern Region,Odisha,Ganjam,19.4129711,85.04710406447731
Eastern Region,Odisha,Baleshwar,21.495590749999998,86.91676226378776
Eastern Region,Odisha,Jajapur,20.827789199999998,86.37983525915192
Eastern Region,Odisha,Sundargarh,22.13327195,83.97965279931319
Eastern Region,Odisha,Puri,19.8076083,85.8252538
