Region,State,District,Year,Quarter,Total_transaction_count,Total_transaction_amount,Latitude,Longitude
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2022,Q3,79574,211581970.34202653,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2022,Q3,49550,131330400.94545083,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2022,Q4,1835592,3600887266.099448,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2022,Q4,93297,241431284.35581034,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2022,Q4,58646,142355853.97352523,7.0000167,93.81105282
Southern Region,Andhra Pradesh,Visakhapatnam,2018,Q1,1256469,1749966196.5049949,17.7231276,83.3012842
Southern Region,Andhra Pradesh,East Godavari,2018,Q1,943935,1235785515.5997267,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Krishna,2018,Q1,863935,1284255179.6156201,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Chittoor,2018,Q1,830324,1009621878.0870512,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Guntur,2018,Q1,815932,1108686589.0266826,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Kurnool,2018,Q1,679623,764905298.7350456,15.8309251,78.0425373
Southern Region,Andhra Pradesh,Anantapur,2018,Q1,638664,788830646.0324218,14.6546235,77.55625984
Southern Region,Andhra Pradesh,West Godavari,2018,Q1,577090,853547668.7532666,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Prakasam,2018,Q1,534757,748990775.8676486,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Nellore,2018,Q1,531612,676643237.8069417,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Visakhapatnam,2018,Q2,1641192,2987853607.2939095,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Krishna,2018,Q2,1224987,2448141593.4919834,16.21399145,81.02572814
Southern Region,Andhra Pradesh,East Godavari,2018,Q2,1221677,2168914928.4239016,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Chittoor,2018,Q2,1185723,1990419125.8937118,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Guntur,2018,Q2,1088101,2108475811.785997,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Kurnool,2018,Q2,968439,1531888665.6843233,15.8309251,78.0425373
Southern Region,Andhra Pradesh,Anantapur,2018,Q2,937023,1690366079.0557928,14.6546235,77.55625984
Southern Region,Andhra Pradesh,West Godavari,2018,Q2,786033,1688025212.3045943,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2018,Q2,780454,1542057934.0108962,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2018,Q2,739991,1571167562.1276274,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2018,Q3,3394576,4821892253.393524,17.7231276,83.3012842
Southern Region,Andhra Pradesh,East Godavari,2018,Q3,3226907,3551247095.3074465,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Kurnool,2018,Q3,2921189,2908389261.5397735,15.8309251,78.0425373
Southern Region,Andhra Pradesh,Krishna,2018,Q3,2396934,3754202654.3844614,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Chittoor,2018,Q3,2297429,3283517630.720593,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Guntur,2018,Q3,1912529,3127764663.180438,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Anantapur,2018,Q3,1815215,2681787750.464165,14.6546235,77.55625984
Southern Region,Andhra Pradesh,YSR Kadapa,2018,Q3,1557444,2235904512.2542048,14.6919995,78.65883805
Southern Region,Andhra Pradesh,West Godavari,2018,Q3,1431282,2309078492.805815,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Prakasam,2018,Q3,1319651,2346453445.4838424,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2018,Q4,4791421,7366635864.849373,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Chittoor,2018,Q4,3166201,4979093890.223491,13.1601048,79.15555062
Southern Region,Andhra Pradesh,East Godavari,2018,Q4,3052762,4652624623.436675,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Krishna,2018,Q4,2839161,5416251838.130407,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Guntur,2018,Q4,2546620,4730251217.696959,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Kurnool,2018,Q4,2508530,3626544852.4069242,15.8309251,78.0425373
Southern Region,Andhra Pradesh,Anantapur,2018,Q4,2286391,3975878156.329829,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Nellore,2018,Q4,1814997,3293448556.973445,14.4493717,79.9873763
Southern Region,Andhra Pradesh,YSR Kadapa,2018,Q4,1732527,3252340063.2478595,14.6919995,78.65883805
Southern Region,Andhra Pradesh,Prakasam,2018,Q4,1692862,3255254226.03728,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2019,Q1,9690866,13459857440.552685,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Chittoor,2019,Q1,6486813,8223371732.233585,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Krishna,2019,Q1,5443981,9061346433.072681,16.21399145,81.02572814
Southern Region,Andhra Pradesh,East Godavari,2019,Q1,5440146,7382264724.59952,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Guntur,2019,Q1,4846553,7765934169.404485,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Kurnool,2019,Q1,4193432,5541564892.509682,15.8309251,78.0425373
Southern Region,Andhra Pradesh,Anantapur,2019,Q1,3891336,6044730653.191345,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Nellore,2019,Q1,3333584,5161932216.216368,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2019,Q1,2931081,4807527779.215151,15.6589741,79.47164373
Southern Region,Andhra Pradesh,YSR Kadapa,2019,Q1,2852197,4915811593.896078,14.6919995,78.65883805
Southern Region,Andhra Pradesh,Visakhapatnam,2019,Q2,11705738,20797479804.029076,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Krishna,2019,Q2,6428472,13437029115.620754,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Chittoor,2019,Q2,5983308,10982727976.224325,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Guntur,2019,Q2,5005275,10405246943.481495,16.2915189,80.4541588
Southern Region,Andhra Pradesh,East Godavari,2019,Q2,4699261,9116404622.47651,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Kurnool,2019,Q2,3895824,7358285187.018034,15.8309251,78.0425373
