Region,State,Pincode,Year,Quarter,Registered_user
Southern Region,Andaman and Nicobar Islands,744112,2020,Q2,1039
Southern Region,Andaman and Nicobar Islands,744211,2020,Q2,1036
Southern Region,Andaman and Nicobar Islands,744205,2020,Q2,806
Southern Region,Andaman and Nicobar Islands,744103,2020,Q3,8318
Southern Region,Andaman and Nicobar Islands,744105,2020,Q3,7007
Southern Region,Andaman and Nicobar Islands,744101,2020,Q3,6881
Southern Region,Andaman and Nicobar Islands,744102,2020,Q3,4919
Southern Region,Andaman and Nicobar Islands,744202,2020,Q3,1965
Southern Region,Andaman and Nicobar Islands,744104,2020,Q3,1718
Southern Region,Andaman and Nicobar Islands,744107,2020,Q3,1710
Southern Region,Andaman and Nicobar Islands,744112,2020,Q3,1372
Southern Region,Andaman and Nicobar Islands,744211,2020,Q3,1279
Southern Region,Andaman and Nicobar Islands,744205,2020,Q3,1008
Southern Region,Andaman and Nicobar Islands,744103,2020,Q4,10408
Southern Region,Andaman and Nicobar Islands,744105,2020,Q4,8962
Southern Region,Andaman and Nicobar Islands,744101,2020,Q4,8593
Southern Region,Andaman and Nicobar Islands,744102,2020,Q4,5882
Southern Region,Andaman and Nicobar Islands,744202,2020,Q4,2711
Southern Region,Andaman and Nicobar Islands,744107,2020,Q4,2346
Southern Region,Andaman and Nicobar Islands,744104,2020,Q4,2167
Southern Region,Andaman and Nicobar Islands,744112,2020,Q4,1761
Southern Region,Andaman and Nicobar Islands,744211,2020,Q4,1579
Southern Region,Andaman and Nicobar Islands,744205,2020,Q4,1346
Southern Region,Andaman and Nicobar Islands,744103,2021,Q1,11416
Southern Region,Andaman and Nicobar Islands,744105,2021,Q1,9934
Southern Region,Andaman and Nicobar Islands,744101,2021,Q1,9457
Southern Region,Andaman and Nicobar Islands,744102,2021,Q1,6395
Southern Region,Andaman and Nicobar Islands,744202,2021,Q1,3005
Southern Region,Andaman and Nicobar Islands,744107,2021,Q1,2586
Southern Region,Andaman and Nicobar Islands,744104,2021,Q1,2383
Southern Region,Andaman and Nicobar Islands,744112,2021,Q1,1940
Southern Region,Andaman and Nicobar Islands,744211,2021,Q1,1774
Southern Region,Andaman and Nicobar Islands,744205,2021,Q1,1505
Southern Region,Andaman and Nicobar Islands,744103,2021,Q2,12268
Southern Region,Andaman and Nicobar Islands,744105,2021,Q2,10668
Southern Region,Andaman and Nicobar Islands,744101,2021,Q2,10120
Southern Region,Andaman and Nicobar Islands,744102,2021,Q2,6837
Southern Region,Andaman and Nicobar Islands,744202,2021,Q2,3261
Southern Region,Andaman and Nicobar Islands,744107,2021,Q2,2783
Southern Region,Andaman and Nicobar Islands,744104,2021,Q2,2573
Southern Region,Andaman and Nicobar Islands,744112,2021,Q2,2083
Southern Region,Andaman and Nicobar Islands,744211,2021,Q2,1904
Southern Region,Andaman and Nicobar Islands,744205,2021,Q2,1626
Southern Region,Andaman and Nicobar Islands,744103,2021,Q3,13198
Southern Region,Andaman and Nicobar Islands,744105,2021,Q3,11480
Southern Region,Andaman and Nicobar Islands,744101,2021,Q3,10866
Southern Region,Andaman and Nicobar Islands,744102,2021,Q3,7313
Southern Region,Andaman and Nicobar Islands,744202,2021,Q3,3543
Southern Region,Andaman and Nicobar Islands,744107,2021,Q3,3027
