Region,State,Pincode,Year,Quarter,Total_transaction_count,Total_transaction_amount
Southern Region,Andaman and Nicobar Islands,744301,2019,Q4,1549,7056478.928838715
Southern Region,Andaman and Nicobar Islands,744201,2019,Q4,886,946768.0636478986
Southern Region,Andaman and Nicobar Islands,744107,2019,Q4,777,3030368.911900454
Southern Region,Andaman and Nicobar Islands,744101,2020,Q1,11793,58229349.02415232
Southern Region,Andaman and Nicobar Islands,744103,2020,Q1,5870,22009443.073053975
Southern Region,Andaman and Nicobar Islands,744105,2020,Q1,4635,16774043.311987936
Southern Region,Andaman and Nicobar Islands,744102,2020,Q1,3820,14517706.12269676
Southern Region,Andaman and Nicobar Islands,744211,2020,Q1,1837,8425387.79004211
Southern Region,Andaman and Nicobar Islands,744301,2020,Q1,1819,6901162.107519586
Southern Region,Andaman and Nicobar Islands,744202,2020,Q1,1794,5037742.395579022
Southern Region,Andaman and Nicobar Islands,744104,2020,Q1,1302,5293130.290633954
Southern Region,Andaman and Nicobar Islands,744201,2020,Q1,1157,1242638.821252932
Southern Region,Andaman and Nicobar Islands,744107,2020,Q1,1043,2990354.4448547475
Southern Region,Andaman and Nicobar Islands,744101,2020,Q2,11868,48293323.21851964
Southern Region,Andaman and Nicobar Islands,744103,2020,Q2,10035,26197535.98945152
Southern Region,Andaman and Nicobar Islands,744105,2020,Q2,9341,23203019.858980607
Southern Region,Andaman and Nicobar Islands,744102,2020,Q2,6012,17786750.907515876
Southern Region,Andaman and Nicobar Islands,744202,2020,Q2,3722,8924121.010762567
Southern Region,Andaman and Nicobar Islands,744107,2020,Q2,2555,3980470.6853698147
Southern Region,Andaman and Nicobar Islands,744301,2020,Q2,2275,9055232.527755566
Southern Region,Andaman and Nicobar Islands,744211,2020,Q2,2045,3319717.6328789736
Southern Region,Andaman and Nicobar Islands,744205,2020,Q2,1847,4459064.90732021
Southern Region,Andaman and Nicobar Islands,744104,2020,Q2,1840,3334591.822304932
Southern Region,Andaman and Nicobar Islands,744101,2020,Q3,24386,100439119.66860783
Southern Region,Andaman and Nicobar Islands,744103,2020,Q3,21272,60332278.69396809
Southern Region,Andaman and Nicobar Islands,744105,2020,Q3,17166,44061506.56273589
Southern Region,Andaman and Nicobar Islands,744102,2020,Q3,13934,43077189.842844136
Southern Region,Andaman and Nicobar Islands,744202,2020,Q3,5779,11975748.707876923
Southern Region,Andaman and Nicobar Islands,744107,2020,Q3,4753,7628018.669464628
Southern Region,Andaman and Nicobar Islands,744104,2020,Q3,3468,7353834.51320935
Southern Region,Andaman and Nicobar Islands,744112,2020,Q3,3422,6067986.696111794
Southern Region,Andaman and Nicobar Islands,744301,2020,Q3,3071,13352610.531559702
Southern Region,Andaman and Nicobar Islands,744205,2020,Q3,2991,7535645.788593667
Southern Region,Andaman and Nicobar Islands,744103,2020,Q4,46884,138264791.5489212
Southern Region,Andaman and Nicobar Islands,744101,2020,Q4,40392,136401368.02166596
Southern Region,Andaman and Nicobar Islands,744105,2020,Q4,34410,87838226.93633425
Southern Region,Andaman and Nicobar Islands,744102,2020,Q4,26694,76348598.32238364
Southern Region,Andaman and Nicobar Islands,744202,2020,Q4,10949,25543799.074759968
Southern Region,Andaman and Nicobar Islands,744107,2020,Q4,9743,18083250.19055397
Southern Region,Andaman and Nicobar Islands,744104,2020,Q4,7654,19126095.533284884
Southern Region,Andaman and Nicobar Islands,744112,2020,Q4,7016,15890275.050448488
Southern Region,Andaman and Nicobar Islands,744205,2020,Q4,5118,12002695.281042248
Southern Region,Andaman and Nicobar Islands,744201,2020,Q4,5011,6777275.536669218
Southern Region,Andaman and Nicobar Islands,744101,2021,Q1,55726,190830957.0606181
Southern Region,Andaman and Nicobar Islands,744103,2021,Q1,47328,158404100.7854989
Southern Region,Andaman and Nicobar Islands,744105,2021,Q1,35467,111571687.43195169
Southern Region,Andaman and Nicobar Islands,744102,2021,Q1,23957,80750048.8238959
Southern Region,Andaman and Nicobar Islands,744211,2021,Q1,10648,34956327.94105429
Southern Region,Andaman and Nicobar Islands,744202,2021,Q1,10597,28127629.877961583
Southern Region,Andaman and Nicobar Islands,744107,2021,Q1,8848,19627951.469969153
Southern Region,Andaman and Nicobar Islands,744104,2021,Q1,8799,27854306.51949638
Southern Region,Andaman and Nicobar Islands,744112,2021,Q1,7113,21084790.0528014
Southern Region,Andaman and Nicobar Islands,744301,2021,Q1,5630,22671937.31314759
Southern Region,Andaman and Nicobar Islands,744101,2021,Q2,73334,227585492.7414593
Southern Region,Andaman and Nicobar Islands,744103,2021,Q2,66321,174752815.1688521
Southern Region,Andaman and Nicobar Islands,744105,2021,Q2,52645,134835744.22049245
Southern Region,Andaman and Nicobar Islands,744102,2021,Q2,34289,100890426.76234055
Southern Region,Andaman and Nicobar Islands,744202,2021,Q2,16476,40647907.96960775
